,count,mean,std,min,median,max
idx_conhecimento_objetivo,31.0,4.225806451612903,1.0865749680948493,1.0,5.0,5.0
idx_conhecimento_declarado,31.0,3.924731182795699,0.7874463058442865,1.5,3.8333333333333335,5.0
idx_percepcao_risco,31.0,4.048387096774194,0.7355944287987838,2.0,4.166666666666667,5.0
idx_conscientizacao,31.0,4.345622119815668,0.5367757022142503,2.857142857142857,4.428571428571429,5.0
idx_comportamento_inseguro,31.0,2.19815668202765,0.7187265943942638,1.0,2.142857142857143,3.4285714285714284
