,idx_comportamento_inseguro,idx_comportamento_inseguro,idx_comportamento_inseguro,idx_conscientizacao,idx_conscientizacao,idx_conscientizacao,idx_conhecimento_objetivo,idx_conhecimento_objetivo,idx_conhecimento_objetivo,idx_conhecimento_declarado,idx_conhecimento_declarado,idx_conhecimento_declarado,idx_percepcao_risco,idx_percepcao_risco,idx_percepcao_risco
,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std
grupo_area,,,,,,,,,,,,,,,
Dados/IA,8,2.071428571428571,0.712241974147557,8,4.375,0.5061574214382,8,4.125,1.4577379737113252,8,3.541666666666667,0.9161253813129042,8,4.145833333333333,0.5151475362718764
Desenvolvimento,10,2.142857142857143,0.7346308866924529,10,4.585714285714285,0.34634469611367946,10,4.5,0.97182531580755,10,4.166666666666666,0.49065338146265824,10,4.083333333333334,0.8434570250382765
Infra/Redes/DevOps,1,1.0,,1,5.0,,1,4.0,,1,5.0,,1,4.833333333333333,
Não informado,5,2.5428571428571427,0.7915368672682896,5,3.8857142857142852,0.8887046294283308,5,3.6,1.140175425099138,5,3.6333333333333337,1.266008600988863,5,3.5666666666666664,1.152292401162907
QA/Testes,3,1.857142857142857,0.4948716593053934,3,4.142857142857143,0.3779644730092268,3,4.666666666666667,0.5773502691896258,3,4.111111111111112,0.48112522432468807,3,4.333333333333333,0.28867513459481275
Segurança,2,2.428571428571429,0.4040610178208846,2,4.214285714285714,0.3030457633656634,2,5.0,0.0,2,4.0,0.2357022603955161,2,3.75,0.3535533905932738
UI/UX & Design,2,3.0,0.0,2,4.285714285714286,0.0,2,3.5,0.7071067811865476,2,4.083333333333333,0.3535533905932736,2,4.166666666666666,0.23570226039551595
